WMOID  STATION NAME                   COUNTRY                                            STATE                          COUNTY                         CD LATITUDE LONGITUDE ELEVATION
28698  OMSK                           RUSSIA                                                                                                                  5501      7323       122
28722  UFA                            RUSSIA                                                                                                                  5443      5550       104
28952  KUSTANAI                       KAZAKHSTAN                                                                                                              5313      6337       170
29231  KOLPASEVO                      RUSSIA                                                                                                                  5819      8257         5
29263  ENISEJSK                       RUSSIA                                                                                                                  5827      9209         9
29282  BOGUCANY                       RUSSIA                                                                                                                  5823      9727       133
29570  KRASNOJARSK OPYTNOE POLE       RUSSIA                                                                                                                   561      9245       276
29612  BARABINSK                      RUSSIA                                                                                                                  5520      7822       120
29789  VERHNJAJA GUTARA               RUSSIA                                                                                                                  5413      9658       984
29807  IRTYSSK                        KAZAKHSTAN                                                                                                              5321      7527        94
29866  MINUSINSK                      RUSSIA                                                                                                                  5342      9142       254
29939  BIJSK ZONAL'NAYA               RUSSIA                                                                                                                  5240      8457       228
30054  VITIM                          RUSSIA                                                                                                                  5927     11235       190
30230  KIRENSK                        RUSSIA                                                                                                                  5746     10804       259
30309  BRATSK                         RUSSIA                                                                                                                  5616     10145       416
30372  CARA                           RUSSIA                                                                                                                  5654     11816        11
30433  NIZHNEANGARSK                  RUSSIA                                                                                                                  5546     10933       487
30554  BAGDARIN                       RUSSIA                                                                                                                  5428     11335       903
30636  BARGUZIN                       RUSSIA                                                                                                                  5337     10937       489
30673  MOGOCA                         RUSSIA                                                                                                                  5345     11944       625
30710  IRKUTSK                        RUSSIA                                                                                                                  5216     10419       469
30758  CHITA                          RUSSIA                                                                                                                   524     11328       671
30879  NERCINSKIJ ZAVOD               RUSSIA                                                                                                                  5119     11937       619
30925  KJAHTA                         RUSSIA                                                                                                                  5022     10627        97
30949  KYRA                           RUSSIA                                                                                                                  4934     11158       908
30965  BORZJA                         RUSSIA                                                                                                                  5024     11631       676
31004  ALDAN                          RUSSIA                                                                                                                  5837     12522         9
31088  OHOTSK                         RUSSIA                                                                                                                  5922     14312         6
31168  AJAN                           RUSSIA                                                                                                                  5627     13809         8
