WMOID STATION NAME                   YEAR MONTHS OF DATA AVAILABLE
70251 TALKEETNA AP                   1998 12
70261 FAIRBANKS INTL AP              1999 12
70261 FAIRBANKS INTL AP              1997 12
70308 ST PAUL ISLAND AP              1995 1
70316 THORNBROUGH                    2004 12
70326 NAKNEK                         2001 12
70361 YAKUTAT AP                     1997 12
64459 IMPFONDO                       1996 12
64700 NDJAMENA                       1998 12
64706 MOUNDOU                        2004 12
64706 MOUNDOU                        1995 1
65306 KANDI                          1997 12
65335 SAVE                           2005 5
65335 SAVE                           1999 12
65352 MANGO                          2005 5
65352 MANGO                          2000 12
65501 DORI                           2001 12
65516 BOROMO                         2004 12
65516 BOROMO                         1996 12
65516 BOROMO                         1995 1
61986 ST. BRANDON                    1999 12
61986 ST. BRANDON                    1998 12
61988 RODRIGUES                      2004 12
61988 RODRIGUES                      2003 12
61988 RODRIGUES                      1997 12
61988 RODRIGUES                      1996 12
61990 PLAISANCE                      2002 12
61996 MARTIN DE VIVIES               1998 12
61996 MARTIN DE VIVIES               1996 12
61996 MARTIN DE VIVIES               1995 1
61998 PORT-AUX-FRAN                  1997 12
62010 TRIPOLI AP                     2004 12
62053 BENINA                         1997 12
62306 MERSA MATRUH                   1998 12
62306 MERSA MATRUH                   1997 12
62306 MERSA MATRUH                   1996 12
62414 ASSWAN                         2005 5
62414 ASSWAN                         2002 12
62417 SIWA                           2000 12
62417 SIWA                           1999 12
62600 WADI HALFA                     2002 12
62600 WADI HALFA                     1997 12
62640 ABU HAMED                      1995 1
62641 PORT SUDAN                     2005 5
62650 DONGOLA                        1996 12
62730 KASSALA                        2005 5
62760 EL FASHER                      1998 12
62770 GENEINA                        1995 1
62840 MALAKAL                        1995 1
63450 ADDIS ABABA                    2005 5
63723 GARISSA                        1997 12
63740 NAIROBI KENYATTA AP            2004 12
63832 TABORA AP                      2003 12
63962 SONGEA                         2003 12
63980 SEYCHELLES AP                  2005 5
63980 SEYCHELLES AP                  2001 12
60680 TAMANRASSET                    1996 12
60765 GABES                          2003 12
60765 GABES                          1997 12
60765 GABES                          1995 1
61024 AGADEZ                         1999 12
61024 AGADEZ                         1998 12
61043 TAHOUA                         1999 12
61043 TAHOUA                         1996 12
61096 MAINE-SOROA                    2003 12
61096 MAINE-SOROA                    1998 12
61202 TESSALIT                       1998 12
61202 TESSALIT                       1995 1
61223 TOMBOUCTOU                     2002 12
61223 TOMBOUCTOU                     1996 12
61250 MENAKA                         1999 12
61250 MENAKA                         1996 12
61297 SIKASSO                        2005 5
61297 SIKASSO                        2002 12
61297 SIKASSO                        1996 12
61415 NOUADHIBOU                     2001 12
61415 NOUADHIBOU                     1999 12
61497 NEMA                           2004 12
61641 DAKAR YOFF                     2000 12
61687 TAMBACOUNDA                    2000 12
